date,distance,humidity,temperature
2020/1/1 0:00,20984,85.3,29.4
2020/1/1 0:30,20984,86.9,28.8
2020/1/1 1:00,21005,78.3,31.5
2020/1/1 1:30,21075,76.8,32.1
2020/1/1 2:00,21095,78.3,30.5
2020/1/1 2:30,21104,80.5,29.1
2020/1/1 3:00,21109,74.9,31.9
2020/1/1 3:30,21172,72.6,32.4
2020/1/1 4:00,21212,74,30.6
2020/1/1 4:30,21208,78.6,29.6
2020/1/1 5:00,21176,77.6,31.4
2020/1/1 5:30,21203,76.2,31
2020/1/1 6:00,21201,80.7,29.5
2020/1/1 6:30,21170,84.4,28.5
2020/1/1 7:00,21141,83.5,29
2020/1/1 7:30,21133,88.1,27.6
2020/1/1 8:00,21096,91.1,27.1
2020/1/1 8:30,21072,91.2,26.7
2020/1/1 9:00,21036,92.2,27.3
2020/1/1 9:30,21015,90.9,28.4
2020/1/1 10:00,21015,89.7,27.9
2020/1/1 10:30,21015,89.5,27.5
2020/1/1 11:00,21007,87.5,29.9
2020/1/1 11:30,21028,86.4,31.1
2020/1/1 12:00,21042,85.6,30.1
2020/1/1 12:30,21056,84.4,29.1
2020/1/1 13:00,21056,85.2,30.5
2020/1/1 13:30,21060,85.4,31.5
2020/1/1 14:00,21090,80.4,30.1
2020/1/1 14:30,21114,81.1,28.9
2020/1/1 15:00,21110,81.7,30.3
2020/1/1 15:30,21110,82.7,31.4
2020/1/1 16:00,21112,83.1,30.4
2020/1/1 16:30,21112,82.6,29.2
2020/1/1 17:00,21109,81.8,31.1
2020/1/1 17:30,21121,81.5,32.4
2020/1/1 18:00,21133,81,31.3
2020/1/1 18:30,21130,83,30.3
2020/1/1 19:00,21144,76.8,32.2
2020/1/1 19:30,21183,78.3,31.8
2020/1/1 20:00,21184,77.5,29.9
2020/1/1 20:30,21193,80.4,29
2020/1/1 21:00,21172,79.1,30.7
2020/1/1 21:30,21177,80.1,30.8
2020/1/1 22:00,21180,78.8,29.9
2020/1/1 22:30,21223,74,28.8
2020/1/1 23:00,21237,71.8,32.3
2020/1/1 23:30,21282,72.2,33.1
2020/1/2 0:00,21291,73.1,31.7
2020/1/2 0:30,21294,76.9,30.3
2020/1/2 1:00,21290,70.1,32.9
2020/1/2 1:30,21347,70.4,33.9
2020/1/2 2:00,21355,72,32.5
2020/1/2 2:30,21356,73.3,30.9
2020/1/2 3:00,21359,67.1,33.2
2020/1/2 3:30,21398,68.7,33.4
2020/1/2 4:00,21400,72.1,32
2020/1/2 4:30,21396,74.3,30.4
2020/1/2 5:00,21404,63,32.8
2020/1/2 5:30,21464,64,33.4
2020/1/2 6:00,21480,69.7,31.7
2020/1/2 6:30,21469,72.3,30.2
2020/1/2 7:00,21466,63.8,32.8
2020/1/2 7:30,21504,66.8,33.8
2020/1/2 8:00,21507,70.1,31.8
2020/1/2 8:30,21491,73.7,30.5
2020/1/2 9:00,21482,65.2,32.7
2020/1/2 9:30,21496,69.2,33
2020/1/2 10:00,21499,71.1,31.5
2020/1/2 10:30,21485,75.2,30.3
2020/1/2 11:00,21464,68.8,32.3
2020/1/2 11:30,21484,69.8,32.6
2020/1/2 12:00,21489,72.5,31.3
2020/1/2 12:30,21468,77,30.3
2020/1/2 13:00,21460,68.7,32.5
2020/1/2 13:30,21484,70.9,32.4
2020/1/2 14:00,21496,71,31
2020/1/2 14:30,21487,75.7,30
2020/1/2 15:00,21460,69.3,32.4
2020/1/2 15:30,21515,67.5,33.3
2020/1/2 16:00,21518,70,31.5
2020/1/2 16:30,21503,75.2,30.2
2020/1/2 17:00,21472,73.1,31.6
2020/1/2 17:30,21488,70.3,32
2020/1/2 18:00,21486,75.7,31
2020/1/2 18:30,21455,78.8,30
2020/1/2 19:00,21434,73.7,31.8
2020/1/2 19:30,21464,71.1,31.7
2020/1/2 20:00,21465,76.4,30.7
2020/1/2 20:30,21441,79.7,29.6
2020/1/2 21:00,21419,74,31.1
2020/1/2 21:30,21447,72.7,31.5
2020/1/2 22:00,21471,71.7,30.2
2020/1/2 22:30,21474,73.7,29
2020/1/2 23:00,21461,70.6,31.3
2020/1/2 23:30,21504,69.6,31.5
2020/1/3 0:00,21491,75.4,30.8
2020/1/3 0:30,21457,78.9,29.8
2020/1/3 1:00,21433,72.9,31.9
2020/1/3 1:30,21480,73.3,32.1
2020/1/3 2:00,21477,76,30.8
2020/1/3 2:30,21453,78.7,29.6
2020/1/3 3:00,21442,70.2,31.6
2020/1/3 3:30,21497,71,31.8
2020/1/3 4:00,21470,77.9,30.2
2020/1/3 4:30,21436,80.2,29.2
2020/1/3 5:00,21409,79.5,29.9
2020/1/3 5:30,21402,82.5,28.9
2020/1/3 6:00,21374,84.3,28.3
2020/1/3 6:30,21339,85.6,27.9
2020/1/3 7:00,21299,85.6,29.1
2020/1/3 7:30,21287,86.7,28.7
2020/1/3 8:00,21265,87,28
2020/1/3 8:30,21239,87.7,27.6
2020/1/3 9:00,21228,88.4,26.3
2020/1/3 9:30,21196,88.8,27.4
2020/1/3 10:00,21180,88.7,27.2
2020/1/3 10:30,21157,89.3,27.1
2020/1/3 11:00,21122,84.2,29.7
2020/1/3 11:30,21195,81.3,30.2
2020/1/3 12:00,21209,83.3,29.2
2020/1/3 12:30,21206,85.2,28.5
2020/1/3 13:00,21186,83.2,29.8
2020/1/3 13:30,21218,81.9,29.7
2020/1/3 14:00,21218,84.8,29
2020/1/3 14:30,21198,86.5,28.2
2020/1/3 15:00,21174,86,28.9
2020/1/3 15:30,21183,84.6,28.8
2020/1/3 16:00,21186,85.6,28.2
2020/1/3 16:30,21185,84.9,27.6
2020/1/3 17:00,21187,82.6,29.1
2020/1/3 17:30,21259,75.1,29.4
2020/1/3 18:00,21283,77.9,28.1
2020/1/3 18:30,21295,78.1,26.6
2020/1/3 19:00,21329,69,27.9
2020/1/3 19:30,21428,66.1,28.5
2020/1/3 20:00,21439,72.2,27.7
2020/1/3 20:30,21429,76.2,26.5
2020/1/3 21:00,21430,64.4,27.9
2020/1/3 21:30,21531,55.2,27.5
2020/1/3 22:00,21573,63.5,26.7
2020/1/3 22:30,21567,71.1,26
2020/1/3 23:00,21557,62.9,27.8
2020/1/3 23:30,21598,63.5,27.8
2020/1/4 0:00,21597,68.5,26.7
2020/1/4 0:30,21572,73.9,25.2
2020/1/4 1:00,21533,70.1,27
2020/1/4 1:30,21575,66.1,27.3
2020/1/4 2:00,21592,64.9,26.3
2020/1/4 2:30,21607,63.9,25.4
2020/1/4 3:00,21623,58.4,28.9
2020/1/4 3:30,21673,60.4,29.6
2020/1/4 4:00,21681,61.9,28.5
2020/1/4 4:30,21682,64,26.9
2020/1/4 5:00,21692,54.8,29.4
2020/1/4 5:30,21744,59.1,29.4
2020/1/4 6:00,21724,67.8,27.8
2020/1/4 6:30,21669,73.3,26.4
2020/1/4 7:00,21629,70.5,28.4
2020/1/4 7:30,21637,67.1,28.8
2020/1/4 8:00,21634,72.5,28.2
2020/1/4 8:30,21595,75.9,27.2
2020/1/4 9:00,21565,68,29.3
2020/1/4 9:30,21595,70.7,29.7
2020/1/4 10:00,21563,77.7,28.6
2020/1/4 10:30,21524,80.9,27.3
2020/1/4 11:00,21465,84.4,25.1
2020/1/4 11:30,21412,85,25.2
2020/1/4 12:00,21384,85,24.7
2020/1/4 12:30,21369,84.6,24.1
2020/1/4 13:00,21350,83.2,25
2020/1/4 13:30,21352,81.6,25.6
2020/1/4 14:00,21347,84.2,25.4
2020/1/4 14:30,21317,85.9,24.7
2020/1/4 15:00,21297,82.5,25.7
2020/1/4 15:30,21320,80.8,25.8
2020/1/4 16:00,21320,82.7,25.5
2020/1/4 16:30,21313,83.7,25
2020/1/4 17:00,21293,85.7,25.1
2020/1/4 17:30,21282,85.4,24
2020/1/4 18:00,21273,85.6,23.3
2020/1/4 18:30,21254,87.1,23.1
2020/1/4 19:00,21216,90.4,24.1
2020/1/4 19:30,21182,90.7,25.3
2020/1/4 20:00,21172,90.2,25.3
2020/1/4 20:30,21155,90.5,25.2
2020/1/4 21:00,21128,91.7,25.2
2020/1/4 21:30,21108,91.1,25.4
2020/1/4 22:00,21099,91.4,25.2
2020/1/4 22:30,21083,92,25.2
2020/1/4 23:00,21055,92.6,25.3
2020/1/4 23:30,21054,90.2,24.1
2020/1/5 0:00,21076,88.6,22.3
2020/1/5 0:30,21088,87.6,20.9
2020/1/5 1:00,21095,88.8,20.3
2020/1/5 1:30,21095,89.7,19.9
2020/1/5 2:00,21090,90.7,19.8
2020/1/5 2:30,21080,92.2,19.8
2020/1/5 3:00,21051,94.6,20.6
2020/1/5 3:30,21030,94.7,20.9
2020/1/5 4:00,21025,93.6,20.8
2020/1/5 4:30,21016,93.6,20.7
2020/1/5 5:00,21005,93.7,21.4
2020/1/5 5:30,21033,88.5,21.8
2020/1/5 6:00,21046,88.7,21.5
2020/1/5 6:30,21051,89.3,21.1
2020/1/5 7:00,21049,87.5,22.1
2020/1/5 7:30,21084,84.9,22.5
2020/1/5 8:00,21103,84.5,21.9
2020/1/5 8:30,21111,84.6,21.4
2020/1/5 9:00,21117,82.1,22.3
2020/1/5 9:30,21172,78.7,22.4
2020/1/5 10:00,21186,81.9,22.1
2020/1/5 10:30,21177,84.1,21.9
2020/1/5 11:00,21153,87.8,21.7
2020/1/5 11:30,21134,88.1,20.8
